
P001,Laptop,1200.0,50
P002,Mouse,25.0,200
P003,Keyboard,45.0,150
P004,Monitor,300.0,30
P005,USB Cable,10.0,500
P006,Webcam,80.0,75
P007,Headphones,60.0,100
P008,External Hard Drive,150.0,40
P009,Smartphone,800.0,25
P010,Tablet,400.0,60
P011,Charger,20.0,300
P012,Desk Lamp,35.0,80
P013,Office Chair,150.0,20
P014,Printer,200.0,15
P015,Router,90.0,45
P016,Speakers,70.0,55
P017,Microphone,110.0,35
P018,Projector,500.0,10
P019,Smartwatch,250.0,40
P020,Graphics Card,600.0,12
P021,Power Bank,40.0,150
P022,Memory Card,30.0,180
P023,VR Headset,350.0,8
P024,Smart Home Hub,120.0,22
P025,Wireless Charger,50.0,90
P026,Tablet Stand,25.0,70
P027,Laptop Sleeve,30.0,65
P028,Screen Protector,15.0,250
P029,USB Hub,45.0,110
P030,Cooling Pad,55.0,40
P031,Desk Organizer,20.0,85
P032,Surge Protector,35.0,95
P033,Web Hosting Service,100.0,5
P034,Cloud Storage Subscription,80.0,10
P035,Antivirus Software,60.0,120
P036,Photo Editing Software,150.0,30
P037,Video Editing Software,200.0,25
P038,Office Suite,250.0,40
